,PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,RAJ,DECJ
37,J1557-1339,GBT,3,2005,,2020,0.186251915339,2025.0,0.0585333299313,,,,,4.17675798795,-0.238270281587
38,J0623-0427,GBT,3,2005,,2021,0.186251915339,2025.0,0.0585333299313,,,,,1.67541071839,-0.0778137734961
39,J2106-4048,GBT,3,2005,,2021,0.186251915339,2025.0,0.0585333299313,,,,,5.52708587962,-0.712382741078
40,J1750-2322,GBT,3,2005,,2022,0.186251915339,2025.0,0.0585333299313,,,,,4.66954854767,-0.407833340419
41,J0536+5241,GBT,3,2005,,2022,0.186251915339,2025.0,0.0585333299313,,,,,1.47010694037,0.919501217807
42,J1418-3408,GBT,3,2005,,2023,0.186251915339,2025.0,0.0585333299313,,,,,3.7465749473,-0.595933780406
43,J1805-0833,GBT,3,2005,,2023,0.186251915339,2025.0,0.0585333299313,,,,,4.73622793796,-0.149302751834
44,J1605-3403,GBT,3,2005,,2024,0.186251915339,2025.0,0.0585333299313,,,,,4.2125410098,-0.594486931427
45,J0552+5027,GBT,3,2005,,2024,0.186251915339,2025.0,0.0585333299313,,,,,1.53878873801,0.880566463308
46,J1907-2309,GBT,3,2005,,2025,0.0585333299313,,,,,,,5.00491369443,-0.404121224213
47,J1738-2814,GBT,3,2005,,2025,0.0585333299313,,,,,,,4.6186390801,-0.492951472124
48,J1730-2800,GBT,3,2005,,2026,0.0585333299313,,,,,,,4.58158387787,-0.488727847865
49,J0648+4710,GBT,3,2005,,2026,0.0585333299313,,,,,,,1.78164490983,0.823309212659
50,J0635-2920,GBT,3,2005,,2027,0.0585333299313,,,,,,,1.724040747,-0.511990213575
51,J1843-1336,GBT,3,2005,,2027,0.0585333299313,,,,,,,4.90271776066,-0.237637799317
52,J1528+3105,GBT,3,2005,,2028,0.0585333299313,,,,,,,4.0534297715,0.542642507693
53,J2146-3918,GBT,3,2005,,2028,0.0585333299313,,,,,,,5.70274716053,-0.685916739924
54,J1053-0730,GBT,3,2005,,2029,0.0585333299313,,,,,,,2.85183722466,-0.131113311569
55,J1718-1925,GBT,3,2005,,2029,0.0585333299313,,,,,,,4.52977534761,-0.339139208838
56,J0950-3107,GBT,3,2005,,2030,0.0585333299313,,,,,,,2.57478759198,-0.543245895012
57,J1527-2746,GBT,3,2005,,2030,0.0585333299313,,,,,,,4.04852360056,-0.484882857553
58,J1624+3906,GBT,3,2005,,2031,0.0585333299313,,,,,,,4.29433617674,0.682600456662
59,J1741-1725,GBT,3,2005,,2031,0.0585333299313,,,,,,,4.63356249857,-0.304144250703
60,J1151+6712,GBT,3,2005,,2032,0.0585333299313,,,,,,,3.10392412938,1.17300371307
61,J1015-1142,GBT,3,2005,,2032,0.0585333299313,,,,,,,2.68534676468,-0.20427285234
62,J1900-2735,GBT,3,2005,,2033,0.0585333299313,,,,,,,4.97500352266,-0.481514119829
63,J1850-2803,GBT,3,2005,,2033,0.0585333299313,,,,,,,4.93334464701,-0.489829956938
64,J1329-3840,GBT,3,2005,,2034,0.0585333299313,,,,,,,3.53027142071,-0.674897560699
65,J2140-1436,GBT,3,2005,,2034,0.0585333299313,,,,,,,5.67384001095,-0.255016471434
66,J1738-0949,GBT,3,2005,,2035,0.0585333299313,,,,,,,4.61944112923,-0.171523255811
67,J2118+4636,GBT,3,2005,,2035,0.0585333299313,,,,,,,5.57693960808,0.813470231375
68,J1053-1733,GBT,3,2005,,2036,0.0585333299313,,,,,,,2.85353745253,-0.306509068865
69,J1822-1331,GBT,3,2005,,2036,0.0585333299313,,,,,,,4.81129240927,-0.236086424595
70,J1028-3143,GBT,3,2005,,2037,0.0585333299313,,,,,,,2.74139863997,-0.553798639727
71,J1424-4106,GBT,3,2005,,2037,0.0585333299313,,,,,,,3.77065325374,-0.717596128802
72,J1729-0836,GBT,3,2005,,2038,0.0585333299313,,,,,,,4.57912282524,-0.150268927159
73,J0548+4145,GBT,3,2005,,2038,0.0585333299313,,,,,,,1.51919115828,0.728909077152
74,J2206-1126,GBT,3,2005,,2039,0.0585333299313,,,,,,,5.78634556583,-0.199779164432
75,J1629-2636,GBT,3,2005,,2039,0.0585333299313,,,,,,,4.31869092684,-0.46444507991
76,J1850-4123,GBT,3,2005,,2040,0.0585333299313,,,,,,,4.93424859042,-0.722410879894
77,J1815-3915,GBT,3,2005,,2040,0.0585333299313,,,,,,,4.78183792638,-0.68521277046
78,J0023+0923,AO,3,2005,,2012,0.1820099631,2020.0,0.0910049815502,,,,,0.10035643199,0.163770061479
79,J0030+0451,AO,3,2005,0.486004929083,2014,0.324124298937,2020.0,0.162062149469,,,,,0.1308996939,0.0846484687217
80,J0337+1715,AO,3,2005,,2017,0.180802048692,2020.0,0.0904010243461,,,,,0.946841119207,0.301069295969
81,J0406+3039,AO,3,2005,,2017,0.466844417366,2020.0,0.233422208683,,,,,1.07337748998,0.534943415736
