,PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,RAJ,DECJ
0,J0340+4130,GBT,4,2005,,2012,1.0770909587,2020.0,0.538545479349,2025.0,0.169248515745,,,0.959931088597,0.724311639578
1,J0605+3757,GBT,4,2005,,2017,2.08494941888,2020.0,1.04247470944,2025.0,0.327618193894,,,1.59261294244,0.662352451132
2,J0610-2100,GBT,4,2005,,2017,0.996646680529,2020.0,0.498323340264,2025.0,0.156607916944,,,1.61442955809,-0.366519142919
3,J0613-0200,GBT,4,2005,0.821076702682,2010,0.269767815405,2020.0,0.134883907703,2025.0,0.042389922582,,,1.62751952748,-0.0349065850399
4,J0636+5128,GBT,4,2005,,2014,0.313521786876,2020.0,0.156760893438,2025.0,0.0492651959,,,1.72787595947,0.89826278836
5,J0645+5158,GBT,4,2005,,2011,0.221656419103,2020.0,0.110828209552,2025.0,0.0348299460092,,,1.76714586764,0.90698943462
6,J0740+6620,GBT,4,2005,,2014,0.270038049097,2020.0,0.135019024549,2025.0,0.04243238571,,,2.00712863979,1.15773507049
7,J0931-1902,GBT,4,2005,,2013,0.91159387455,2020.0,0.455796937275,2025.0,0.143243157863,,,2.49145750722,-0.332194334296
8,J1012+5307,GBT,4,2005,0.679447175817,2010,0.255524708844,2020.0,0.127762354422,2025.0,0.0401518343076,,,2.67035375555,0.927060721018
9,J1012-4235,GBT,4,2005,,2017,3.25574462895,2020.0,1.62787231447,2025.0,0.511590912209,,,2.67035375555,-0.743219373141
10,J1024-0719,GBT,4,2005,,2010,0.393546099069,2020.0,0.196773049534,2025.0,0.0618398034135,,,2.72271363311,-0.127699923604
11,J1125+7819,GBT,4,2005,,2014,0.588651922577,2020.0,0.294325961288,2025.0,0.092497725825,,,2.98887634404,1.36688369252
12,J1455-3330,GBT,4,2005,2.29786541598,2010,0.783214205298,2020.0,0.391607102649,2025.0,0.123070239042,,,3.90517420134,-0.584685299418
13,J1600-3053,GBT,5,2005,,2008,0.479430902309,2010.0,0.140160237737,2020.0,0.0700801188687,2025.0,0.0220240565682,4.18879020479,-0.539015850658
14,J1614-2230,GBT,5,2005,,2009,0.864004082336,2010.0,0.253329172999,2020.0,0.1266645865,2025.0,0.0398068391334,4.24987672861,-0.392699081699
15,J1630+3734,GBT,4,2005,,2017,0.548934264334,2020.0,0.274467132167,2025.0,0.0862566979413,,,4.31968989869,0.655662022333
16,J1643-1224,GBT,4,2005,1.02701424311,2010,0.330855110342,2020.0,0.165427555171,2025.0,0.051988864914,,,4.37641309938,-0.216420827247
17,J1705-1903,GBT,4,2005,,2017,0.121527236701,2020.0,0.0607636183503,2025.0,0.0190961629266,,,4.47240620824,-0.332485222505
18,J1719-1438,GBT,4,2005,,2017,1.27452493182,2020.0,0.637262465909,2025.0,0.200272271573,,,4.53349273206,-0.255399847209
19,J1730-2304,GBT,4,2005,,2017,0.374439165424,2020.0,0.187219582712,2025.0,0.0588374384474,,,4.58148928649,-0.402589280793
